,0,1,2,3,4,5,6,7,8,9
0,1.1691533,-0.52524155,1.7179008,-0.543999,-1.4607768,-0.3633181,-0.21421798,0.22697417,0.8354727,2.5327778
1,0.62659574,-2.1914647,1.1277543,-1.5146418,-0.48660582,0.08656465,-1.2354823,0.358752,1.5462588,-0.35640967
2,0.35673007,-0.51212424,1.2645608,-1.7893494,-0.6817551,0.13274163,0.29072416,0.8580289,0.49163163,1.2288554
3,0.58574456,-0.8440484,0.013066945,-2.015076,0.2693096,-0.7728765,0.55934227,1.155907,1.0585121,0.59992886
4,0.015766505,-0.6538648,0.91206354,1.8159869,-0.45876908,-1.0663555,0.15980454,0.2671214,-0.032081176,0.25063556
5,-0.6246529,-0.5331274,1.23537,-0.5384634,-0.30750337,1.0737637,-0.108105466,-1.7422074,0.77118784,0.4897968
6,-0.16963813,-0.4524937,0.7816664,1.8627613,0.37192634,-1.9481516,0.055672932,0.71350974,0.77798307,2.0602458
7,2.0329292,-0.5270088,-0.869933,0.35686755,0.56152594,-0.18932824,-1.2216016,-0.34403804,0.7127751,-0.14715493
8,0.56174403,-0.43100962,0.124204054,0.33173567,-1.8886831,-1.8717365,-0.25355574,-2.1886303,1.3199761,-1.6805427
9,-0.084238514,-0.07020912,1.7547591,-0.71530217,0.22344372,-0.022052376,-0.33229145,1.0652866,0.59263825,0.80557865
10,-0.16170341,-1.8593622,1.1196785,-2.3614118,-0.92574614,0.8049372,0.6524411,-0.5772085,2.4999528,0.96386576
11,1.8260355,-1.6266098,0.3023021,0.064821236,-0.657806,-1.5532794,0.8164959,1.3694606,2.8502715,1.2217113
12,0.5210935,-0.9704646,2.9156282,-0.24680866,-2.0666008,1.167989,0.22823602,-0.5345544,1.0721854,-0.3047131
13,-2.0139534,-0.90770334,0.7470923,-2.4446864,-0.21383794,-1.549503,1.3684626,-1.015353,2.788443,2.07687
14,0.91758466,-0.9119381,-0.91404283,-0.5125646,0.44038513,1.2681054,-0.06929769,-0.93617797,0.4160506,0.842916
15,-0.86718357,0.17271157,0.8430263,-1.2313657,-0.41365328,0.51045734,-0.21468933,-0.90000033,1.591548,0.19484104
16,0.54968137,0.34873843,0.8702575,-2.3544283,-1.2149842,0.08912143,-0.17111325,0.05012958,1.3990645,1.084708
17,-0.032602046,-0.75798,1.774753,-2.4530115,-1.0261372,-0.21852536,-0.6800155,0.6344317,1.673784,-0.18278973
18,0.39135724,-0.37044996,-0.2120157,-0.5061157,0.042632442,-0.098068506,-0.47809568,-1.4143482,1.2580967,0.25077292
19,0.08329757,-0.46161377,0.2603743,-1.93764,-0.7167438,0.17165853,0.44107354,-0.14529791,1.211348,0.7944482
20,0.0658738,-1.0523574,0.0021252169,0.080011785,0.5412456,-0.666655,-1.0291445,-0.08786763,1.4039247,-0.120337635
21,-0.46957487,-0.8261254,1.8699967,-0.4699805,-0.82379174,2.2805407,-0.055730995,-1.1567676,0.2964396,0.6826332
22,1.7002233,-0.7210285,-1.683084,1.7444932,0.9921458,-1.7786831,-0.63895977,-0.25107875,0.9914633,0.26090512
23,0.13522007,0.6021312,0.64130765,1.1877537,-0.48176152,-0.08771297,-0.81673807,-0.620951,1.0263442,1.5573121
24,-0.69538933,-0.9365537,0.073576614,0.29792336,-1.2503881,0.53007954,0.33296767,-2.088061,1.1717205,-0.45493135
25,-0.78493494,-0.980306,1.5050988,0.47056457,-1.353202,1.3591666,0.15958771,-2.0588467,0.5927188,0.08628232
26,-0.20112833,-1.9236909,1.6603875,-1.7363957,-0.18403967,1.7055413,0.45312747,-0.68998736,1.6225573,0.42596877
27,0.16278279,-0.9107817,-0.3818037,-0.5020717,0.54002684,-2.2630115,-0.2241384,0.43685475,2.3461235,1.7604656
28,0.7485431,-0.0255323,-0.05975705,-1.3679281,-0.42246157,-0.89051247,-0.48474833,0.58061403,2.6363873,0.90291685
29,1.4784881,0.19222125,0.12483657,0.31123582,0.5213624,0.57934654,-1.7015803,0.3492845,0.28253275,0.050564602
30,0.33384445,-0.44836888,1.4560494,1.0592341,-1.1960307,1.4875188,-0.6164181,-1.6514848,0.8709422,0.6034849
